Genes	2	3	-5.26790525

Genes	5	6	4.361663125

Genes	8	9	-4.911289

Genes	11	12	3.362073

Genes	14	15	-2.6741195

Genes	14	15	-2.6741195

Genes	14	15	-2.6741195

Genes	14	15	-2.6741195

Genes	14	15	-2.6741195

Genes	14	15	-2.6741195

Genes	14	15	-2.6741195

Genes	29	30	-3.72318625

Genes	32	33	-3.9785715

Genes	35	36	-2.99868875

Genes	38	39	-3.58855525

Genes	41	42	-2.421157625

Genes	14	15	-2.244889375

Genes	46	47	-2.63976175

Genes	49	50	-4.016577375

Genes	51	52	-3.2634665

Genes	54	55	2.76738225

Genes	57	58	-2.59390275

Genes	60	61	-3.0412045

Genes	63	64	-2.5898105

Genes	66	67	3.201897875

Genes	57	58	-2.485137375

Genes	57	58	-2.485137375

Genes	73	74	-2.949173

Genes	57	58	-2.577564125

Genes	78	79	2.18232525

Genes	81	82	-4.40444

Genes	57	58	-2.563402875

Genes	57	58	-2.563402875

Genes	88	89	4.515215375

Genes	91	92	4.34545625

Genes	94	95	3.150178625

Genes	57	58	-2.44254525

Genes	99	100	3.507289625

Genes	102	103	-3.053108

Genes	105	106	-2.088813375

Genes	107	108	-1.75099175

Genes	110	111	-2.0137075

Genes	113	114	3.11352825

Genes	116	117	-4.612459

Genes	118	119	-6.547057375

Genes	121	122	-1.65644875

Genes	124	125	-4.32644625

Genes	127	128	-2.24760125

Genes	130	131	2.001821125

Genes	133	134	-3.069082125

Genes	136	137	2.1101145

Genes	139	140	-6.152163875

Genes	142	143	2.157268375

Genes	145	146	2.346731125

Genes	148	149	1.754179125

Genes	151	152	4.0261935

Genes	154	155	-2.660628875

Genes	157	158	-5.571755375

Genes	160	161	3.302958

Genes	163	164	-3.265280125

Genes	166	167	4.61132475

Genes	169	170	2.866685375

Genes	172	173	3.269442125

Genes	175	176	2.595647125

Genes	178	179	-2.521246

Genes	181	182	1.726909625

Genes	184	185	2.89851575

Genes	187	188	-3.206829625

Genes	190	191	-3.4079135

Genes	193	194	2.735325875

Genes	196	197	-2.604691875

Genes	199	200	-4.291508625

Genes	202	203	-2.800105375

Genes	205	206	4.07987625

Genes	208	209	-2.21007575

Genes	211	212	1.472363

Genes	214	215	1.7521365

Genes	217	218	4.54600975

Genes	220	221	2.390676

Genes	223	224	-1.697168625

Genes	225	226	2.837575125

Genes	228	229	-3.983727625

Genes	231	232	1.901466875

Genes	234	235	-3.199285625

Genes	237	238	1.93895875

Genes	240	241	-2.106036125

Genes	243	244	-2.74594925

Genes	246	247	2.83205925

Genes	11	12	3.967156625

Genes	251	252	1.604980625

Genes	254	255	2.415650125

Genes	257	258	-1.5377555

Genes	260	261	1.745594875

Genes	217	218	4.5827075

Genes	265	266	-2.760449875

Genes	268	269	2.3506

Genes	271	272	-4.244786625

Genes	274	275	2.84293525

Genes	277	278	-1.730647125

Genes	279	280	2.12663525

