# These are DE genes for all 3 cells types with a 
# p value of less than 0.05.  
> aCTB	M
17072144	2.762642625
16673075	1.9532245
17095056	3.6412635
16854466	-4.65848875
16693459	2.38961175
16996545	-4.288113625
16877097	-3.06539625
17059696	-3.280409
17075789	3.053868625
17110289	3.31119325
16911108	1.491401375
16788475	-3.701442625
16922940	-5.124839125
17029807	1.73305925
16981542	2.292217875
17034810	1.8244315
17039996	1.8244315
17077821	-3.148931875
16743816	3.24237875
16795965	2.16534075
16687914	-3.13538875
17040387	2.156212125
16731461	2.161952375
16675578	3.264745375
17104578	-2.743793
16977970	2.110083625
16971910	5.07642875
16848219	3.086442375
16916605	4.042054625
16715170	3.01720675
16867784	4.773019125
16754471	2.73613225
17101517	2.27605
16685295	-2.97225825
16803006	-3.348188125
16749939	2.894595875
17110315	3.847688125
16844509	-2.586156
16836333	2.6102755
16879174	1.739981875
16729789	1.65602525
17018039	2.96956075
17032533	2.96956075
17118399	2.208602625
17079448	1.812893375
16695437	1.80394575
17027187	3.1955175
17034851	3.1955175
17037331	3.1955175
16904410	-1.635423
16794472	2.772062625
17011721	-1.4168595
17025267	1.623968125
16743577	3.57172375
17049312	3.0681735
16913341	2.842904875
17042548	2.88898
16904827	-4.4489075
16862439	2.41265625
16755173	1.267026125
16689969	2.576678
16696187	-5.294060125
16944798	1.375791625
16726533	-1.905215375
16950877	-1.771246625
16671874	2.725131625
17114288	-3.291239125
16813038	2.207165125
16700263	-1.68894275
16853462	-2.54131025
16987008	-1.5155905
17012313	1.703618125
16782001	2.83098
16914867	-1.68484725
16863753	2.427252375
17085951	5.029233625
16669169	2.735478125
16967286	3.489498625
16860971	2.554895
16837938	-1.825234125
16689400	2.245628625
16943336	2.602628875
16834091	3.04994875
16949537	-2.63167725
16714699	-3.0794155
16799690	-3.028711875
16738819	2.437928875
17056825	3.702281988
16931957	1.63192425
16971019	-1.9109825
16685036	1.39856225
16672362	1.798060625
16909482	2.324646375
17114220	-1.842443125
16922147	2.48647425
16998162	2.26390125
16669374	-4.319907
17002681	2.13764025
17101292	-3.076423
17079544	2.593445125
17017998	1.632005875
17022691	1.99844075
16740997	2.771264375
17040037	2.9785135
16744138	-3.11925175
17004710	-1.7227835
16895673	-1.691608625
17001654	2.833318375
16956244	-2.504338125
16805594	1.501828
16737105	3.01518225
17074029	-1.60889925
16702399	1.38471075
16862101	-4.778669375
17010789	-1.7916965
16773946	-1.712486625
17077723	3.936516875
16701110	2.276908375
16730996	-1.844014125
17112623	1.945519375
16791436	3.067308125
16929855	1.585981125
16992122	1.612509125
16977052	4.274542
16745002	1.777388625
16800680	3.469717375
16904775	2.360070375
16759087	1.8989355
16930166	2.42442425
16874922	1.18735175
16855810	2.831918125
